ரேடியோ	radio
வான்	vaan
தியேன்	theyone
</s>	</s>
பறவைகளின்	paraivaigalin
எண்ணிக்கை	ennikkai
குறித்து	kurithu
அரசின்	arasin
அதிகாரப்பூர்வ	athigarapoorva
குறிப்பு	kurippu
</s>	</s>
1911இல்	1911yil
நடந்த	nadantha
தர்பாருக்கு	tharpaarukku
அனைத்து	anaithu
மன்னரரசர்களும்	mannararasarkalum
அவைக்கு	avaikku
வந்திருந்தனர்	vanthirunthanar
</s>	</s>
கிறிசுடோபர்	christoper
விருது	viruthu
</s>	</s>
உலகிலேயே	ulagilaeye
மிக	miga
அதிக	athika
சிற்பங்களைக்	sirpangkalai
கொண்டுள்ள	kondululla
இதற்கு	itharku
ஆண்டுதோறும்	aanduthorum
1.4	1.4
கோடி	kodi
மக்கள்	makkal
வருகை	varugai
தருகின்றனர்	tharukindranar
</s>	</s>
நிதிப்	nithi
பற்றாக்குறைகள்	patraakuraikal
காலம்கடந்து	kaaalamkadanthu
கண்டறியப்பட்டால்	kandariyapattal
மற்றும்	matrum
நிதிகள்	nathikal
போதாததாக	pothaathathaaka
இருந்தால்	irunthal
நிறுவன	niruvana
முதலீடுகளை	muthalidukalai
வழங்க	vazhanga
வங்கிகள்	vangikal
நிராகரிக்கலாம்	niraakarikalam
மற்றும்	matrum
இதன்	ithan
விளைவாக	vilaivaaka
திவாலாவாக	thivaalaaga
ஆவதிலிருந்து	aavathilirunthu
தப்பிக்க	thapika
முடியாது	mudiyathu
</s>	</s>
மேற்கு	maerku
ஆபிரிக்காவில்	africavil
எபோலா	ebola
நோய்ப்	noi
பரவல்	paraval
2014	2014
நோய்த்	noi
தடுப்புக்காக	thadupukaaga
சீனா	china
மேலும்	melum
232	232
இராணுவ	raanuva
மருத்துவப்	maruththuva
பணியாளர்களை	paniyaalarkalai
மேற்கு	merku
ஆப்பிரிக்காவிற்கு	africavirku
அனுப்பியது	anupiyathu
ஏபி	ab
</s>	</s>
ஏ.-இல்	a-il
ஒரு	oru
கூடைப்பந்து	kootaippanthu
அணியாகும்	aniyaagum
</s>	</s>
பெண்கள்	penkal
விடுதலை	viduthalai
முன்னணி	munnani
என்பது	enbathu
தமிழ்நாட்டில்	tamilnaatil
இயங்கும்	iyankum
ஒர்	oor
இடதுசாரி	idathusaari
அமைப்பின்	amaipin
பெண்கள்	penkal
விடுதலைக்கான	viduthalaikaana
அமைப்பாகும்	amaipaagum
</s>	</s>
தாயகத்தில்	thaayakathil
இருக்கும்	irukum
மக்களுடன்	makkaludan
தொடர்புகளை	thodarpukalai
பேணுவதிலும்	penuvathilum
தேவையேற்படின்	theevaiyerpadin
உதவிகளை	uthavikalaai
பரிமாறி	parimaari
கொள்வதற்க்கும்	kolvatharkum
இவ் ஒன்றியங்கள்	ivvondriyangkal
வழிசெய்கின்றன	vazhi seykindrana
</s>	</s>
சாரா	saara
பிரான்சிசு	fransisu
வைட்டிங்	waiting
</s>	</s>
இந்நகரம்	innagarm
பதின்மூன்றாம்	pathimoondram
நூற்றாண்டில்	nootraandil
கி.பி	ki.pi
1254-91	1254-91
வாழ்ந்த	vaaazhntha
மூன்றாம்	moondram
நரசிம்மன்	narasimman
என்ற	endra
மன்னனின்	mannanin
தளபதியான	thalapathiyaana
தண்டநாயக்கா	thandanaayakkaa
சோமா	soma
என்பவரால்	enbavaraala
கட்டப்பட்டது	kattapatathu
</s>	</s>
2006	2006
ஆம்	aam
ஆண்டில்	aandil
இடம்பெற்ற	idampetra
லெபனான்	lebaban
போரின்	porin
போது	pothu
இவர்	ivar
தாரிக்	thaarik
அலி	ali
ஜான்	john
பர்கர்	parkar
நோம்	nom
சொம்ஸ்கி	somsky
எடுவர்டோ	edwardo
கலியானோ	kaliano
நவோமி	navomi
கிளயேன்	kilayen
ஹரோல்ட்	harold
பின்ட்டர்	pinter
அருந்ததி	arunthathi
ராய்	roy
ஹோவார்ட்	hovard
சின்	sin
ஆகியோடுடன்	aakiyorudan
சேர்ந்து	sernthu
அறிக்கையொன்றில்	arikaiyondril
கையெழுத்து	kaiyezhuthu
இட்டார்	ittar
</s>	</s>
வெளிக்கோடுகளின்	velikoodukalin
மாறுபாட்டினால்	maarupaatinaal
பார்வைக்	paarvai
குழப்பம்	kushapam
உண்டாவதாக	undaavathaaka
கிரைய்க்-ஓ	krayak-o
பிரியான்	piriyaan
கார்ன்ஸ்வீட்	kaarnsvit
மாயத்தோற்றம்	maayathotram
உரைக்கிறது	uraikirathu
</s>	</s>
வேல்சாமி	velsami
ஆகியவர்களோடு	aagiyavarkalodu
இணைந்து	inainthu
நடத்தியவர்	nadathiyavar
</s>	</s>
சாரநாதன்	saaranathan
பொறியியல்	poroyiyal
கல்லூரி	kalloori
</s>	</s>
செங்குத்தான	senguthaana
மூலைவிட்டங்களைக்	moolaivittangkalaik
கொண்ட	konda
இணைகரம்(இரண்டாவது	inaikaram(irandavathu
குணம்	kunam
சாய்சதுரம்	saaysathuram
ஆகும்	aagum
</s>	</s>
பணியால்	paniyaal
பாதிக்கப்படக்கூடிய	paathikapadakuudiya
சொத்துகளின்	sothukalin
உடைமைஉரிமையாளர்கள்	udaimaiurimaiyaalarkal
அல்லது	allathu
இயக்குபவர்களிடமிருந்து	iyakupavarkalidamirunthu
உரிமையளித்தலைப்	urimaiyalithalai
பெறுதல்	peruthal
</s>	</s>
மாநில	maanila
ஆட்சி	aatchu
வழமையாக	vazhamaiyaaka
ஓர்	oor
முதலமைச்சரின்	muthalamaicharin
கீழ்	keel
இயங்காது	iyankathu
குடியரசுத்	kudiyarasu
தலைவரின்	thalaivarin
கீழ்	keezh
இயங்குவதால்	iyangkuvathal
இதனை	ithanai
குடியரசுத்தலைவராட்சி	kudiyarasuththalaivaraatchi
என்று	endru
குறிப்பிடுகின்றனர்	kuripidukindranar
</s>	</s>
இது	ithu
புனித	punitha
சிறில்	siral
ஜெரோம்	jerom
ஆகியோரால்	aakiyooraal
4	4
ஆம்	aam
நூற்றாண்டில்	nootraandil
குறிப்பிடப்பட்டது	kuripidappattathu
</s>	</s>
பயணித்தல்	payanithal
</s>	</s>
ஆனக்காடு	aanakaadu
வடக்கு	vadaku
</s>	</s>
கோ	ko
ஆதன்	aathan
செல்லிரும்பொறை	sollirumporai
மகன்	makan
பெருங்கடுங்கோ	perungkadungko
மகன்	makan
இளங்கடுங்கோ	ilangkadungko
என்பது	enbathu
அந்தக்	antha
கால்வழி	kaalvazhi
வரிசைமுறை	varisaimurai
</s>	</s>
வரும்	varum
ஆண்டுகளில்	aandukalil
மேலும்	meelum
கூடுதல்	kooduthal
கல்வித்திட்டங்களும்	kalvithittangkalim
ஆய்வு	aayvu
திட்டங்களும்	thittangkalum
மற்ற	matra
இ.தொ.கழகங்களைப்	e.tho.kazhakangkalai
போன்றே	pondrea
வகுக்கப்படும்	vazhangkapadum
</s>	</s>
இன்று	indru
போர்த்துகலாக	portugalaaka
இருக்கும்	irukum
பகுதிகளை	paguthikalai
உரோமர்	uromar
கைப்பற்றுவதற்கு	kaipatruvatharku
ஏறத்தாழ	eerathaazha
200	200
ஆண்டுகள்	aandukal
பிடித்ததுடன்	pidiththathudan
பல	pala
இளம்	ilam
போர்வீரர்களும்	veerarkalum
தமது	thamathu
உயிர்களை	uyirkalai
இழந்தனர்	izhanthanar
</s>	</s>
பண்டைய	pandaiya
இயற்சொற்கள்	iyarsorkal
பல	pala
அவற்றில்	avatril
விரவி	viravi
வந்தமையால்	vanthamaiyaal
அவற்றைப்	avatrai
பொதுமக்கள்	pothumakkal
உணர்ந்துகொள்ளும்	unarnthukollum
பொருட்டு	poruttu
நல்லறிஞர்கள்	nallarinjarkal
பலர்	palar
பாடல்களுக்கு	paadalkaluku
உரை	urai
எழுதினர்	ezhuthinar
</s>	</s>
சேரமான்	seramaan
மாரி	maari
வெண்கோ	venko
சோழன்	sozhan
இராசசூயம்	iraasasuyam
வேட்ட	veatta
பெருநற்கிள்ளி	perunarkilli
பாண்டியன்	pandiyan
கானப்பேரெயில்	kaanaperail
தந்த	thantha
உக்கிரப்	ukkira
பெருவழுதி	peruvazhuthi
ஆகிய	aakiya
மூவரும்	moovarum
நண்பர்களாகக்	nanbarkalaaka
கூடி	koodi
மகிழ்ந்திருக்கக்	makizhnthiruka
கண்டு	kandu
வானத்து	vaanathu
மீன்கள்	meenkal
போலவும்	polavum
மழையின்	mazhaiyin
திவலைகள்	thivalaikal
போலவும்	polavum
உயர்ந்தோங்கிப்	uyarnthongki
பொலிக	polika
என	ena
வாழ்த்தினார்	vaazhthinaar
</s>	</s>
இப்புராணங்களை	ippuraanangkalai
படிக்கத்	padika
தொடங்கிய	thodangkiya
பொழுதும்	pozhuthum
படித்து	padithu
முடித்த	muditha
பொழுதும்	pozhuthum
மாகேசுர	maakesura
பூசையை	poojaiyai
அவசியம்	avasiyam
செய்ய	seyya
வேண்டுமென	veendumena
ஆறுமுக	aarumuka
நாவலர்	naavalar
தனது	thanathu
சைவ	saiva
வினா	vinaa
விடை	vidai
இரண்டாம்	irandaam
புத்தகத்தில்	puthakathil
எடுத்துரைக்கிறார்	eduthuraikiraar
</s>	</s>
ஆனால்	aanal
அதன்	athan
பிறகு	piragu
நடந்த	nadantha
ஒரு	oru
வழமையான	vazhamaiyaana
ஏலத்தில்	eelathil
வாங்குவோர்	vaanguvor
இல்லாமல்	illamal
போக	poga
பீதி	beethi
பரவி	paravi
விலைகள்	vilaikal
திடுமெனச்	thidumena
சரிந்தன	sarinthana
</s>	</s>
மா	maa
சீனாவில்	chinavil
சிஜியாங்	sijiyaang
